cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class
N23331748,0.0,523,0.0,0.0,0.0,21.0
N23331771,0.0,523,0.0,0.0,0.0,21.0
N23331747,0.0,523,0.0,0.0,0.0,21.0
N23331772,0.0,523,0.0,0.0,0.0,21.0
N23331742,0.0,523,0.0,0.0,0.0,
N23331744,0.0,523,0.0,0.0,0.0,
N23331745,0.0,523,0.0,0.0,0.0,
N23331726,0.0,523,0.0,0.0,0.0,
N23331718,0.0,523,0.0,0.0,0.0,
N23331715,0.0,523,0.0,0.0,0.0,
N23331714,0.0,523,0.0,0.0,0.0,
N23331723,0.0,523,0.0,0.0,0.0,
N23334101,3.873030686865048,243,-8.0,585.0,0.2297307848930359,3.0
N23334103,7.083201447311713,211,-9.0,586.0,0.1350555568933487,2.0
N23334100,5.988497690278656,243,-9.0,590.0,0.6008671522140503,2.0
N23334104,3.5954297270093645,243,-8.0,593.0,0.2318084090948104,4.0
N23334025,1.0636378624001328,243,-8.0,560.0,0.0555193200707435,3.0
N23334027,2.481449237283395,243,-8.0,569.0,0.1359327435493469,2.0
N23334024,8.619852907803594,211,-8.0,572.0,0.2603271305561065,2.0
N23334106,1.485990666613287,311,-8.0,560.0,0.0297783985733985,3.0
N23334028,0.0,523,-8.0,557.0,0.0012218785705044,21.0
N23331766,8.592716849580103,231,-8.0,587.0,1.4690924882888794,2.0
N23334022,7.428671613031504,231,-9.0,586.0,2.502346992492676,2.0
N23331767,3.5539375786878624,231,-8.0,576.0,1.3321659564971924,2.0
N23334021,7.475990431649344,231,-9.0,584.0,2.120765924453736,2.0
N23334102,0.6134374591769004,311,-8.0,567.0,0.0007375606219284,3.0
N23334105,2.3224624900945594,243,-8.0,587.0,0.0645574927330017,1.0
N23334110,0.3492292068442519,311,-8.0,569.0,0.0322733372449874,12.0
N23334113,0.0,523,0.0,0.0,0.0,21.0
N23334107,5.323651571663058,243,-8.0,578.0,0.0599680393934249,2.0
N23331768,0.4080484387825946,321,-8.0,577.0,0.162947192788124,2.0
N23331776,0.0,523,0.0,0.0,0.0,21.0
N23334041,2.752666830864488,312,-9.0,568.0,0.206471636891365,2.0
N23334018,4.510825145001314,312,-9.0,568.0,0.206471636891365,0.0
N23334017,4.442373835310644,312,-9.0,576.0,0.2384588867425918,0.0
N23334042,0.1115464018467737,331,0.0,0.0,0.0027380227111279,12.0
N23334043,8.04099450792585,231,-9.0,587.0,0.1576372683048248,2.0
N23334035,3.7279501399215382,243,-9.0,569.0,0.0633733049035072,2.0
N23334040,7.5588272055801085,231,-9.0,584.0,0.345035046339035,2.0
N23334032,7.292839663369315,243,-9.0,576.0,0.2099791914224624,2.0
N23334044,4.0146472417578405,312,-9.0,582.0,0.1093863695859909,2.0
N23334014,6.831879815276788,312,-9.0,576.0,0.1706332862377166,12.0
N23334016,8.668328421456474,312,-9.0,585.0,0.2346070855855941,2.0
N23334013,9.623250620705742,312,-9.0,583.0,0.2251080572605133,2.0
N23334015,6.323471988950457,312,-9.0,574.0,0.1832313239574432,0.0
N23334008,12.77558400679608,312,-10.0,584.0,0.6833860874176025,2.0
N23334050,2.8776142499884783,243,-8.0,579.0,0.0720369517803192,12.0
N23334026,0.5612185246178082,312,-8.0,560.0,0.0695896968245506,14.0
N23334051,2.599013493985546,243,-8.0,579.0,0.0,12.0
N23334045,0.3027989815692512,523,-8.0,557.0,0.002611456438899,2.0
N23334023,8.450741553793149,231,-9.0,586.0,0.2618989050388336,2.0
N23331761,0.0,523,0.0,0.0,0.0,21.0
N23331764,0.0,523,-8.0,568.0,0.0442311018705368,21.0
N23331762,0.0,523,0.0,0.0,0.0,21.0
N23331763,3.3970862310759875,331,-8.0,578.0,1.7420159578323364,2.0
N23331688,5.220515416592968,231,-8.0,578.0,1.6269428730010986,2.0
N23331685,4.053294103972766,231,-8.0,578.0,1.6269428730010986,2.0
N23331737,0.0,523,0.0,0.0,0.0,21.0
N23331736,0.0,523,0.0,0.0,0.0,21.0
N23331738,0.0,523,0.0,0.0,0.0,21.0
N23331682,0.0,523,0.0,0.0,0.0,21.0
N23331760,1.0398594773545558,321,-8.0,567.0,0.1353499442338943,2.0
N23331770,0.0,523,0.0,0.0,0.0,21.0
N23331773,0.0,523,0.0,0.0,0.0,21.0
N23331765,0.0,523,-8.0,567.0,0.0743895098567009,21.0
N23331746,0.0,523,0.0,0.0,0.0,21.0
N23331678,7.176342005632361,242,-9.0,573.0,0.6611717939376831,2.0
N23334012,8.057105171437167,231,-9.0,575.0,0.7577461004257202,2.0
N23331686,6.252759957800106,242,-9.0,581.0,0.6863473653793335,2.0
N23334011,9.432144534831144,231,-9.0,579.0,0.6177750825881958,2.0
N23334010,10.131146372581014,231,-9.0,575.0,1.1181814670562744,2.0
N23331675,2.9896185422430235,321,-9.0,567.0,0.6692553162574768,0.0
N23331677,4.28154242282011,231,-9.0,569.0,0.8669624924659729,2.0
N23331674,2.6070491018115867,231,-9.0,569.0,0.8669624924659729,2.0
N23331683,2.950320387373165,312,-9.0,577.0,0.460935115814209,0.0
N23331676,7.266732644061653,231,-9.0,571.0,1.937278389930725,2.0
N23331687,6.216590020121361,243,-9.0,579.0,2.7661283016204834,0.0
N23334020,7.00076301730409,231,-9.0,587.0,0.946414053440094,2.0
N23331684,4.23848151674076,231,-9.0,583.0,1.3258427381515503,2.0
N23334118,0.0,523,0.0,0.0,0.0,
N23334117,0.0,523,0.0,0.0,0.0,21.0
N23334115,0.0,523,0.0,0.0,0.0,21.0
N23334114,0.0,523,0.0,0.0,0.0,21.0
N23334140,0.4160719209787797,322,-7.0,568.0,0.0069040204398334,2.0
N23334132,0.0,523,0.0,0.0,0.0,21.0
N23334116,0.0,523,-7.0,568.0,0.0,21.0
N23334141,0.5613577609159508,322,-7.0,569.0,0.0041165011934936,2.0
N23334111,0.0,523,0.0,0.0,0.0,21.0
N23334108,0.4301397630146572,321,0.0,0.0,0.0185474772006273,2.0
N23334133,0.0,523,0.0,0.0,0.0,21.0
N23334055,0.2268227758456249,331,-8.0,568.0,0.0,15.0
N23334130,0.0,523,0.0,0.0,0.0,21.0
N23334052,0.2415153104431775,523,-8.0,567.0,0.0,15.0
N23334057,0.821512247777867,331,-8.0,571.0,0.0,14.0
N23334056,0.0,523,0.0,0.0,0.0,21.0
N23334054,1.6880313936544924,322,-8.0,575.0,0.0,2.0
N23334058,0.3390309822422509,331,-8.0,569.0,0.0,12.0
N23334053,1.2123883634197468,312,-8.0,570.0,0.0,12.0
N23334135,0.0616915980163885,321,-8.0,567.0,0.0166239980608224,15.0
N23334134,0.0,523,0.0,0.0,0.0,21.0
N23334131,0.0,523,0.0,0.0,0.0,21.0
N23334136,0.0,523,0.0,0.0,0.0,21.0
N23334137,0.0,523,0.0,0.0,0.0,21.0
N23331778,0.0,523,0.0,0.0,0.0,21.0
N23331775,0.0,523,0.0,0.0,0.0,21.0
N23331777,0.0,523,0.0,0.0,0.0,21.0
N23334112,0.0,523,0.0,0.0,0.0,21.0
N23331774,0.0,523,0.0,0.0,0.0,21.0
N23331453,0.0,523,0.0,0.0,0.0,
N23331450,0.0,523,0.0,0.0,0.0,
N23331471,0.0,523,0.0,0.0,0.0,
N23331470,0.0,523,0.0,0.0,0.0,
N23331447,0.0,523,0.0,0.0,0.0,
N23331465,0.0,523,0.0,0.0,0.0,
N23331464,0.0,523,0.0,0.0,0.0,
N23331462,0.0,523,0.0,0.0,0.0,
N23331473,0.0,523,0.0,0.0,0.0,
N23331446,0.0,523,0.0,0.0,0.0,
N23331443,0.0,523,0.0,0.0,0.0,
N23331444,0.0,523,0.0,0.0,0.0,
N23331461,0.0,523,0.0,0.0,0.0,
N23331438,0.0,523,0.0,0.0,0.0,
N23331480,0.0,523,0.0,0.0,0.0,
N23331472,0.0,523,0.0,0.0,0.0,
N23331456,0.0,523,0.0,0.0,0.0,
N23331474,0.0,523,0.0,0.0,0.0,
N23331475,0.0,523,0.0,0.0,0.0,
N23331448,0.0,523,0.0,0.0,0.0,
N23331445,0.0,523,0.0,0.0,0.0,
N23331442,0.0,523,0.0,0.0,0.0,
N23331441,0.0,523,0.0,0.0,0.0,
N23331418,0.0,523,0.0,0.0,0.0,
N23331417,0.0,523,0.0,0.0,0.0,
N23331435,0.0,523,0.0,0.0,0.0,
N23331440,0.0,523,0.0,0.0,0.0,
N23331432,0.0,523,0.0,0.0,0.0,
N23331414,0.0,523,0.0,0.0,0.0,21.0
N23331416,0.0,523,0.0,0.0,0.0,21.0
N23331415,0.0,523,0.0,0.0,0.0,21.0
N23331408,0.0,523,0.0,0.0,0.0,
N23331426,0.0,523,0.0,0.0,0.0,
N23331423,0.0,523,0.0,0.0,0.0,
N23331486,0.0,523,0.0,0.0,0.0,
N23331483,0.0,523,0.0,0.0,0.0,
N23331627,0.0,523,0.0,0.0,0.0,21.0
N23331626,0.0,523,0.0,0.0,0.0,21.0
N23331628,0.0,523,0.0,0.0,0.0,
N23331642,0.0,523,0.0,0.0,0.0,21.0
N23331650,0.0,523,0.0,0.0,0.0,21.0
N23331623,0.0,523,0.0,0.0,0.0,
N23331621,0.0,523,0.0,0.0,0.0,
N23331624,0.0,523,0.0,0.0,0.0,
N23331618,0.0,523,0.0,0.0,0.0,21.0
N23331617,0.0215740495798539,523,-9.0,565.0,0.0,21.0
N23331615,0.0,523,0.0,0.0,0.0,21.0
N23331706,0.0,523,0.0,0.0,0.0,21.0
N23331707,0.0,523,0.0,0.0,0.0,
N23331651,0.0,523,0.0,0.0,0.0,21.0
N23331652,0.0,523,0.0,0.0,0.0,21.0
N23331625,0.0,523,0.0,0.0,0.0,
N23331700,0.0,523,0.0,0.0,0.0,
N23331703,0.0,523,0.0,0.0,0.0,
N23331635,4.561994275268243,243,-10.0,584.0,3.5290639400482178,2.0
N23331634,9.38672441852336,243,-10.0,595.0,3.4889094829559326,2.0
N23331643,3.2802310403512447,231,-9.0,580.0,2.3546528816223145,2.0
N23331636,17.599612703128738,231,-10.0,597.0,4.741480827331543,2.0
N23331637,14.280906268528527,243,-10.0,595.0,3.1593949794769287,2.0
N23331660,17.22111616329271,231,-10.0,593.0,2.5112595558166504,1.0
N23331631,4.815475483329928,231,-10.0,580.0,1.4873701333999634,2.0
N23331632,4.036985964191203,231,-9.0,575.0,2.2291784286499023,2.0
N23331633,9.5348760935725,311,-10.0,592.0,0.0,4.0
N23330855,16.139670333083796,312,-11.0,600.0,0.5708444118499756,1.0
N23331644,0.4593887996612762,231,-9.0,566.0,0.4766820669174194,2.0
N23331647,0.4652190164339785,231,-9.0,573.0,0.6000385284423828,2.0
N23331638,5.520456859043667,243,-9.0,589.0,2.2849342823028564,2.0
N23331646,5.019748775326476,231,-9.0,589.0,2.026615619659424,1.0
N23331662,8.114854744502477,243,-10.0,589.0,1.1128777265548706,2.0
N23331640,2.042429657614961,312,-9.0,573.0,0.5300189852714539,2.0
N23331641,1.8698289126765968,312,-9.0,568.0,0.5793018937110901,2.0
N23331388,0.0,523,0.0,0.0,0.0,
N23331387,0.0,523,0.0,0.0,0.0,
N23331385,0.0,523,0.0,0.0,0.0,
N23331620,0.0,523,0.0,0.0,0.0,21.0
N23331612,0.0,523,0.0,0.0,0.0,21.0
N23331386,0.0,523,0.0,0.0,0.0,21.0
N23331384,0.0,523,0.0,0.0,0.0,
N23331381,0.0,523,0.0,0.0,0.0,
N23331382,0.0,523,0.0,0.0,0.0,
N23331378,0.0,523,0.0,0.0,0.0,21.0
N23331383,0.0,523,0.0,0.0,0.0,21.0
N23331467,0.0,523,0.0,0.0,0.0,
N23331466,0.0,523,0.0,0.0,0.0,
N23331622,0.0,523,0.0,0.0,0.0,
N23331463,0.0,523,0.0,0.0,0.0,
N23331460,0.0,523,0.0,0.0,0.0,
N23331613,0.0,523,0.0,0.0,0.0,21.0
N23331605,0.0,523,-9.0,563.0,0.0072961286641657,21.0
N23331610,0.0,523,0.0,0.0,0.0,21.0
N23331607,1.4380181570518382,243,-9.0,570.0,0.6853358149528503,2.0
N23331606,5.636959898228548,231,-10.0,581.0,2.263495445251465,2.0
N23331604,0.0,523,-9.0,563.0,0.0,21.0
N23331608,1.813501280181262,231,-9.0,575.0,2.586109399795532,2.0
N23331602,0.0,523,0.0,0.0,0.0,21.0
N23331368,0.0,523,0.0,0.0,0.0,21.0
N23331376,0.0,523,0.0,0.0,0.0,21.0
N23331603,2.7936873642765745,243,-10.0,583.0,1.771195411682129,2.0
N23331601,0.0,523,-9.0,567.0,0.0,21.0
N23331614,0.0,523,0.0,0.0,0.0,21.0
N23331616,0.0,321,0.0,0.0,0.0112387873232364,21.0
N23331611,0.0,523,0.0,0.0,0.0,21.0
N23331377,0.0,523,0.0,0.0,0.0,21.0
N23331732,0.0,523,0.0,0.0,0.0,
N23331731,0.0,523,0.0,0.0,0.0,
N23331740,0.0,523,0.0,0.0,0.0,
N23331735,0.0,523,0.0,0.0,0.0,
N23331734,0.0,523,0.0,0.0,0.0,
